unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2024_12_AFG_FOOD,2024_12,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,70.44
2024_12_AFG_ALCO,2024_12,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,52.16
2024_12_AFG_CLTH,2024_12,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,28.28
2024_12_AFG_HOUS,2024_12,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,38.31
2024_12_AFG_FURN,2024_12,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2024_12_AFG_HEAL,2024_12,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2024_12_AFG_TRNS,2024_12,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2024_12_AFG_COMM,2024_12,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2024_12_AFG_CLTR,2024_12,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2024_12_AFG_EDUC,2024_12,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2024_12_AFG_RHTL,2024_12,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,37.59
2024_12_AFG_MISC,2024_12,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,64.27
2024_12_AFG_MEDI,2024_12,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,44.53
2024_12_AFG_PNSN,2024_12,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2024_12_AFG_OUTA,2024_12,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
